city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
5,0.92,1,1,0,3,3,14,1,4,2,178,0.0
49,0.92,1,1,0,3,5,15,3,2,1,11,0.0
99,0.884,1,1,0,3,5,21,4,4,2,32,0.0
64,0.624,1,0,0,3,5,2,5,1,1,39,0.0
51,0.903,1,1,0,3,5,3,4,2,1,55,1.0
5,0.92,1,1,0,4,3,2,3,4,1,104,0.0
5,0.92,1,1,0,4,6,21,4,2,5,8,0.0
64,0.624,1,1,0,4,5,3,3,3,1,88,0.0
5,0.92,1,1,0,4,5,21,8,2,1,7,0.0
48,0.91,1,1,0,3,5,21,8,2,5,62,0.0
5,0.92,1,1,0,3,5,6,3,2,1,83,0.0
70,0.939,1,1,0,3,5,9,6,2,5,11,0.0
70,0.939,1,1,0,4,5,10,6,2,1,114,0.0
49,0.92,1,1,2,3,5,21,3,1,5,108,0.0
5,0.92,1,1,0,3,5,2,4,2,2,45,0.0
13,0.926,1,1,0,4,5,15,4,2,2,8,0.0
36,0.727,0,1,0,3,5,9,4,3,5,37,0.0
5,0.92,1,1,0,3,5,13,5,2,2,162,0.0
51,0.903,1,1,0,4,5,19,4,2,4,4,0.0
99,0.884,0,0,0,5,5,3,6,1,1,41,0.0
5,0.92,1,1,0,3,5,21,3,2,1,190,0.0
5,0.92,1,1,0,3,5,6,4,1,1,11,0.0
5,0.92,1,0,1,2,0,3,8,2,1,30,0.0
13,0.926,1,0,0,3,5,21,3,2,5,5,0.0
13,0.926,1,1,0,4,5,10,3,2,5,29,0.0
5,0.92,2,0,2,2,0,6,3,3,1,54,0.0
49,0.92,1,1,0,3,5,9,3,2,3,44,0.0
5,0.92,1,1,0,3,5,21,6,5,5,74,0.0
64,0.624,1,1,0,4,5,6,2,2,1,8,1.0
5,0.92,1,1,0,3,5,3,5,2,1,162,0.0
83,0.762,2,1,2,2,0,3,2,2,1,262,0.0
93,0.6659999999999999,1,1,2,3,5,9,2,2,1,19,1.0
93,0.6659999999999999,2,0,0,3,5,21,3,2,5,23,1.0
13,0.926,1,1,0,4,5,11,2,4,1,40,0.0
99,0.884,1,1,0,3,5,12,3,2,1,11,0.0
112,0.923,1,0,0,4,5,3,8,2,0,30,0.0
49,0.92,1,1,2,3,5,5,6,1,2,40,0.0
48,0.91,1,1,0,5,5,21,4,2,2,27,0.0
13,0.926,1,0,0,2,0,10,4,2,5,46,0.0
13,0.926,1,1,0,2,0,7,3,2,5,110,0.0
5,0.92,1,1,0,3,5,13,3,3,1,96,0.0
121,0.949,1,1,0,3,5,4,3,3,4,42,0.0
18,0.64,1,1,0,3,5,21,3,2,0,40,1.0
5,0.92,1,1,0,3,5,5,4,3,2,94,0.0
55,0.878,1,0,2,3,5,10,2,4,1,25,0.0
80,0.516,1,1,0,3,5,9,1,4,1,11,0.0
36,0.727,1,1,0,3,5,10,2,2,2,113,0.0
49,0.92,1,1,1,3,5,21,8,2,1,40,0.0
5,0.92,1,1,0,4,5,21,1,2,5,56,0.0
13,0.926,1,1,2,3,5,19,5,2,2,64,0.0
101,0.754,1,1,0,3,5,5,8,2,1,51,0.0
95,0.855,0,1,1,3,5,6,6,2,2,41,0.0
102,0.579,1,1,0,3,5,4,2,2,1,320,0.0
4,0.804,1,1,1,3,5,9,7,2,1,74,0.0
112,0.923,1,1,0,3,5,21,2,2,5,166,0.0
91,0.913,1,1,0,3,5,2,3,2,1,110,0.0
13,0.926,1,1,0,4,5,21,3,2,5,31,0.0
15,0.743,1,0,1,4,5,11,3,2,5,97,0.0
4,0.804,1,1,0,5,5,21,4,2,5,206,0.0
5,0.92,0,1,0,3,5,2,2,3,1,204,0.0
5,0.92,1,1,0,4,5,18,8,2,2,116,0.0
5,0.92,1,1,0,3,5,20,8,2,0,107,0.0
48,0.91,1,1,0,3,5,10,1,2,1,140,0.0
103,0.939,1,1,0,3,3,3,8,2,2,75,0.0
95,0.855,0,1,0,4,5,9,4,2,2,42,1.0
48,0.91,0,1,0,3,5,7,8,2,1,22,0.0
91,0.913,1,1,0,4,5,21,5,2,5,143,0.0
95,0.855,0,1,0,3,5,14,3,2,2,72,0.0
5,0.92,1,1,0,2,0,11,5,2,1,7,0.0
30,0.897,1,0,1,3,5,3,3,4,1,182,0.0
122,0.915,1,1,0,3,5,15,3,2,4,50,0.0
2,0.887,1,1,0,2,0,2,3,1,1,82,0.0
94,0.802,1,1,1,4,5,5,4,2,4,124,0.0
49,0.92,0,1,0,3,5,9,3,2,1,17,0.0
48,0.91,1,0,0,4,5,5,8,2,0,31,0.0
5,0.92,1,1,0,3,5,21,3,3,1,31,0.0
5,0.92,1,1,0,3,5,6,3,2,1,55,0.0
48,0.91,1,1,0,2,0,21,4,2,5,38,0.0
55,0.878,1,1,0,4,5,21,6,2,3,32,1.0
77,0.7759999999999999,1,1,2,3,5,18,4,3,5,51,0.0
4,0.804,1,1,1,3,5,9,7,2,2,22,0.0
65,0.899,1,1,0,3,5,5,2,3,1,19,0.0
64,0.624,1,1,1,4,5,9,3,2,2,46,1.0
48,0.91,0,1,0,3,5,13,3,2,5,15,0.0
74,0.893,1,1,0,3,5,21,4,2,5,38,0.0
5,0.92,1,1,0,3,5,21,6,1,5,52,0.0
13,0.926,1,1,0,4,5,15,4,2,2,65,0.0
5,0.92,1,1,0,3,5,7,7,2,4,86,0.0
13,0.926,1,0,0,3,5,3,6,1,1,86,0.0
48,0.91,1,1,0,4,5,21,4,2,5,53,0.0
103,0.939,1,1,0,5,5,21,3,2,2,166,0.0
5,0.92,1,1,0,3,5,17,4,2,5,106,0.0
31,0.836,1,0,0,3,5,6,1,2,0,58,0.0
103,0.939,1,1,0,4,5,16,7,5,2,166,0.0
5,0.92,1,1,0,3,2,21,8,2,0,109,0.0
99,0.884,1,1,0,3,5,1,1,4,1,37,0.0
82,0.89,1,0,0,3,5,9,3,2,3,51,0.0
5,0.92,1,1,0,3,5,16,3,3,1,84,0.0
13,0.926,1,1,0,3,5,21,5,5,1,72,0.0
2,0.887,1,1,0,2,0,21,4,2,1,47,0.0
5,0.92,1,0,0,3,6,2,6,1,1,64,0.0
85,0.8959999999999999,1,1,0,4,5,15,8,2,5,23,1.0
99,0.884,1,0,1,4,5,14,4,1,3,96,0.0
101,0.754,1,1,0,3,5,9,1,5,1,8,0.0
83,0.762,1,1,0,3,5,21,4,2,1,48,0.0
64,0.624,1,1,0,3,5,8,2,2,1,98,1.0
5,0.92,1,1,0,3,1,21,1,2,1,102,0.0
5,0.92,1,0,0,3,5,21,3,2,5,32,0.0
49,0.92,0,1,1,3,5,4,7,2,1,7,0.0
48,0.91,1,1,0,3,5,16,2,2,1,53,0.0
95,0.855,1,1,0,3,5,10,2,3,1,161,0.0
30,0.897,1,0,0,4,5,8,2,2,1,11,0.0
7,0.794,0,1,0,4,3,6,3,2,1,182,0.0
103,0.939,1,1,0,3,5,21,7,2,5,67,0.0
99,0.884,0,0,2,3,5,5,4,2,1,16,0.0
48,0.91,1,1,0,3,5,21,8,2,5,38,0.0
5,0.92,2,1,0,3,1,5,2,4,1,98,0.0
99,0.884,1,1,0,4,5,4,4,2,2,112,0.0
95,0.855,2,0,1,2,0,4,8,2,1,36,0.0
48,0.91,1,1,0,3,5,19,4,2,4,24,0.0
5,0.92,1,1,0,4,3,2,8,5,1,28,0.0
55,0.878,1,1,2,3,5,10,3,1,1,166,0.0
64,0.624,1,1,1,4,5,10,3,2,2,61,1.0
83,0.762,1,1,0,3,5,21,3,1,3,24,0.0
55,0.878,1,1,0,3,5,21,2,2,5,29,0.0
5,0.92,1,1,0,3,5,9,8,1,5,11,1.0
83,0.762,1,1,0,3,5,8,3,2,5,87,0.0
5,0.92,1,1,0,3,5,8,2,3,1,18,0.0
78,0.8270000000000001,1,1,0,3,1,9,6,2,1,76,1.0
64,0.624,1,1,0,3,5,6,8,2,1,114,0.0
112,0.923,1,1,0,3,5,21,5,2,5,80,0.0
77,0.7759999999999999,1,1,1,3,5,14,6,2,0,52,0.0
64,0.624,0,1,0,3,5,0,3,2,1,13,0.0
31,0.836,1,1,0,4,3,2,4,2,1,36,0.0
13,0.926,1,1,0,4,5,21,6,2,5,67,0.0
48,0.91,1,1,0,5,5,15,8,2,1,58,0.0
64,0.624,1,1,0,3,5,7,4,2,1,18,1.0
94,0.802,1,1,1,3,5,0,8,2,2,11,0.0
5,0.92,1,1,0,3,6,10,3,2,5,206,0.0
70,0.939,1,1,0,4,5,21,8,2,5,88,0.0
13,0.926,1,1,2,4,5,14,8,2,2,16,0.0
6,0.924,1,1,0,3,5,21,6,2,5,95,0.0
100,0.795,1,1,0,4,5,21,4,1,5,94,0.0
5,0.92,1,1,0,3,4,17,2,2,3,20,0.0
64,0.624,1,1,0,3,5,6,8,2,4,78,1.0
103,0.939,1,1,0,3,5,21,8,2,3,2,0.0
7,0.794,0,1,1,3,5,9,4,2,5,206,0.0
61,0.682,1,1,0,3,5,12,4,2,3,25,0.0
64,0.624,1,1,1,3,5,5,2,2,1,8,1.0
13,0.926,1,1,0,3,5,9,5,2,2,22,0.0
5,0.92,1,1,0,3,3,19,4,2,5,90,0.0
13,0.926,1,1,0,3,5,7,1,2,1,120,0.0
64,0.624,1,1,0,3,5,4,3,2,0,18,1.0
94,0.802,1,1,1,3,5,8,7,2,2,314,0.0
3,0.5579999999999999,1,0,0,3,5,0,1,4,1,146,1.0
63,0.7959999999999999,1,1,0,3,5,11,4,2,5,25,0.0
5,0.92,1,1,0,3,5,21,3,2,5,50,1.0
5,0.92,1,1,0,3,5,9,8,2,5,30,0.0
8,0.698,1,1,0,3,5,18,8,2,4,39,0.0
48,0.91,1,1,0,3,5,21,3,2,1,43,1.0
95,0.855,1,1,0,3,3,9,8,2,2,226,0.0
64,0.624,1,1,0,3,5,7,3,2,1,50,0.0
101,0.754,1,0,2,2,0,4,6,2,1,280,1.0
64,0.624,1,1,0,4,5,5,4,2,1,15,1.0
5,0.92,1,1,1,3,5,5,4,2,2,14,0.0
48,0.91,1,1,0,3,5,10,5,2,1,74,0.0
13,0.926,1,1,0,4,5,14,5,2,1,52,0.0
64,0.624,1,1,0,3,5,8,4,2,1,54,1.0
101,0.754,1,0,2,3,5,8,1,4,1,50,0.0
1,0.895,1,1,0,4,5,17,1,4,1,42,0.0
48,0.91,1,1,0,5,5,21,4,2,4,11,0.0
48,0.91,1,1,0,4,5,10,3,2,2,74,0.0
94,0.802,1,1,1,2,0,7,3,2,1,17,0.0
82,0.89,1,1,1,3,5,9,3,2,5,90,0.0
95,0.855,1,0,0,4,5,21,4,2,2,234,0.0
64,0.624,1,0,0,3,5,3,5,2,3,11,1.0
6,0.924,1,1,0,4,3,7,1,2,1,163,0.0
48,0.91,1,1,0,3,5,10,3,2,4,9,0.0
26,0.8270000000000001,1,1,1,3,5,5,2,1,1,6,0.0
103,0.939,1,1,0,3,5,11,6,2,5,72,0.0
13,0.926,1,1,2,3,5,18,4,5,3,84,0.0
42,0.698,1,1,0,3,5,14,3,1,5,24,0.0
91,0.913,1,1,0,2,0,21,2,2,1,77,0.0
5,0.92,1,1,0,3,3,17,3,3,2,8,0.0
64,0.624,1,1,1,3,5,9,4,2,1,74,1.0
5,0.92,1,1,0,3,5,21,4,2,5,151,0.0
64,0.624,1,1,0,3,5,11,3,2,1,4,0.0
13,0.926,1,1,0,3,5,7,8,2,3,29,0.0
48,0.91,1,1,0,4,5,21,8,2,2,78,0.0
64,0.624,1,1,1,3,5,2,1,2,2,141,1.0
6,0.924,1,1,1,2,0,8,4,1,1,41,1.0
89,0.866,1,1,0,4,5,12,3,2,1,30,0.0
64,0.624,1,1,0,3,5,8,4,2,2,104,1.0
99,0.884,1,1,0,3,5,12,1,4,1,98,0.0
5,0.92,1,1,0,4,5,21,2,2,5,9,0.0
5,0.92,1,1,0,3,5,21,1,4,3,53,0.0
74,0.893,1,1,0,4,5,12,8,2,1,107,0.0
13,0.926,1,1,0,4,5,21,4,2,1,24,0.0
5,0.92,1,1,0,3,5,12,6,2,5,80,0.0
101,0.754,1,1,0,3,5,21,4,2,2,96,0.0
64,0.624,1,0,0,3,5,4,2,2,1,11,1.0
5,0.92,1,1,0,3,5,15,2,2,5,46,0.0
64,0.624,1,1,1,3,6,5,4,2,1,20,0.0
5,0.92,1,1,0,1,0,10,1,2,1,14,0.0
5,0.92,1,1,0,3,5,11,8,2,5,34,0.0
5,0.92,1,1,0,3,5,11,3,2,3,17,0.0
5,0.92,0,0,0,3,3,3,4,2,3,40,0.0
83,0.762,1,1,0,4,5,8,6,1,1,45,0.0
114,0.925,1,1,0,3,5,8,3,3,2,85,0.0
93,0.6659999999999999,1,1,0,3,5,6,3,2,1,110,0.0
83,0.762,1,1,1,3,5,12,4,2,3,6,0.0
5,0.92,1,1,0,4,3,15,6,2,4,11,0.0
30,0.897,1,1,0,4,5,6,2,4,1,91,0.0
50,0.767,1,1,0,3,3,21,1,2,2,28,0.0
13,0.926,1,0,0,2,0,5,3,2,2,256,0.0
5,0.92,1,1,1,3,5,6,7,2,2,26,0.0
5,0.92,1,1,0,4,3,5,8,2,4,168,1.0
83,0.762,1,0,0,3,6,2,6,2,0,26,0.0
13,0.926,1,1,0,4,5,16,4,2,5,37,0.0
1,0.895,1,1,0,3,5,12,6,2,5,14,0.0
64,0.624,1,0,0,3,5,4,5,2,1,218,0.0
48,0.91,1,1,0,3,5,13,3,3,1,8,0.0
5,0.92,1,1,1,4,5,8,2,3,1,38,0.0
122,0.915,1,1,0,3,5,8,6,2,2,26,0.0
48,0.91,1,1,0,3,5,9,4,2,1,50,0.0
49,0.92,0,1,0,4,5,21,3,2,5,120,1.0
83,0.762,1,1,0,3,5,9,4,3,1,100,0.0
64,0.624,1,1,1,3,5,4,3,2,4,198,1.0
94,0.802,0,0,2,3,5,3,3,2,1,144,1.0
116,0.698,1,1,1,4,5,21,8,1,1,28,0.0
48,0.91,1,1,0,3,3,21,8,1,1,20,0.0
55,0.878,1,0,0,3,4,14,3,5,3,45,0.0
5,0.92,1,1,1,4,5,6,8,2,3,55,0.0
48,0.91,1,1,0,3,5,5,3,2,3,28,0.0
70,0.939,1,1,0,4,5,6,4,2,1,96,0.0
5,0.92,1,1,0,3,5,4,8,2,2,8,0.0
5,0.92,1,1,0,4,5,21,8,2,5,42,0.0
5,0.92,1,1,0,4,5,7,7,1,4,8,0.0
5,0.92,1,1,0,3,6,8,4,5,1,128,0.0
5,0.92,0,1,0,3,5,5,3,2,2,25,1.0
11,0.55,1,1,1,4,5,4,4,5,2,37,1.0
64,0.624,1,0,0,3,5,6,8,2,0,21,1.0
5,0.92,0,1,0,3,3,4,4,2,1,90,0.0
85,0.8959999999999999,1,0,0,2,0,3,4,2,5,10,0.0
5,0.92,1,0,0,4,5,6,6,1,1,106,1.0
45,0.769,1,1,0,3,5,9,4,5,5,35,1.0
48,0.91,1,1,0,3,5,7,6,2,4,22,0.0
13,0.926,1,1,0,4,5,12,6,2,1,82,0.0
5,0.92,1,1,0,3,5,8,8,2,2,44,0.0
5,0.92,1,1,0,3,5,7,8,2,1,107,0.0
64,0.624,1,1,1,3,5,3,2,2,5,116,1.0
5,0.92,1,0,1,2,0,5,8,2,1,55,0.0
64,0.624,1,1,0,4,5,4,1,4,1,78,1.0
13,0.926,1,1,0,4,5,21,4,2,5,56,0.0
30,0.897,1,1,0,3,5,7,7,2,5,15,0.0
5,0.92,1,0,0,3,5,6,4,5,1,54,0.0
48,0.91,1,0,0,3,5,8,3,2,4,23,0.0
64,0.624,1,1,0,3,5,11,3,3,1,206,1.0
65,0.899,1,0,0,3,5,21,2,2,5,24,0.0
99,0.884,1,1,0,3,5,13,2,2,2,101,0.0
55,0.878,1,0,1,4,3,9,4,1,2,56,0.0
5,0.92,1,1,0,4,5,10,8,2,1,21,0.0
5,0.92,1,1,0,3,5,7,8,2,1,77,0.0
13,0.926,1,1,0,2,0,4,3,2,1,14,0.0
5,0.92,1,1,0,3,3,13,3,2,1,326,0.0
5,0.92,1,1,0,3,5,21,3,2,1,20,1.0
38,0.84,1,1,1,3,5,9,2,6,1,34,0.0
13,0.926,1,1,0,3,5,4,8,2,1,19,0.0
30,0.897,1,0,0,4,5,21,5,2,5,4,0.0
5,0.92,1,1,0,3,5,4,3,2,1,58,0.0
48,0.91,1,1,2,3,5,10,3,2,4,206,0.0
49,0.92,1,0,0,3,3,10,8,2,1,57,0.0
11,0.55,1,1,0,3,5,7,5,2,1,40,1.0
49,0.92,1,1,0,3,5,12,2,2,1,34,0.0
5,0.92,1,1,0,3,2,1,8,2,1,28,0.0
51,0.903,1,1,2,3,5,21,8,2,5,6,0.0
117,0.691,1,0,0,3,5,10,8,2,1,32,0.0
5,0.92,1,1,0,3,5,14,8,2,5,290,0.0
5,0.92,1,1,0,3,3,2,4,2,1,168,0.0
48,0.91,1,1,0,3,5,14,6,2,1,8,0.0
5,0.92,1,1,0,3,5,6,8,2,1,21,0.0
13,0.926,1,1,0,4,5,9,3,2,2,123,0.0
64,0.624,1,1,0,3,5,5,2,2,3,48,1.0
28,0.742,1,1,0,3,2,4,2,2,1,188,0.0
5,0.92,1,1,0,3,5,12,3,1,2,42,0.0
74,0.893,1,1,0,2,0,16,2,2,5,73,0.0
5,0.92,1,1,0,3,5,21,8,2,5,156,1.0
64,0.624,1,1,0,3,5,5,4,3,1,103,1.0
5,0.92,1,1,0,3,5,17,4,2,1,39,0.0
95,0.855,1,1,0,3,2,12,5,2,1,96,0.0
99,0.884,1,1,0,3,5,21,6,2,5,70,0.0
48,0.91,1,1,0,4,5,16,3,2,0,4,0.0
64,0.624,1,1,1,3,6,3,3,2,3,51,0.0
5,0.92,1,1,0,3,5,18,8,2,2,6,0.0
48,0.91,1,0,0,5,5,9,6,1,5,90,0.0
5,0.92,1,1,0,3,5,4,3,4,1,145,0.0
95,0.855,0,0,0,4,3,3,3,2,2,9,0.0
5,0.92,1,1,0,3,5,10,4,2,4,26,0.0
103,0.939,1,1,0,2,0,4,8,1,2,42,0.0
5,0.92,1,1,1,4,5,15,3,2,2,166,0.0
78,0.8270000000000001,1,1,1,3,5,21,4,2,5,72,0.0
39,0.555,0,1,2,4,5,21,8,5,3,135,1.0
64,0.624,1,0,0,4,5,6,5,5,5,138,1.0
5,0.92,1,1,0,3,5,7,4,2,5,31,0.0
5,0.92,1,1,0,3,5,21,8,2,5,25,0.0
13,0.926,1,1,0,4,5,21,1,2,5,8,0.0
5,0.92,1,0,0,3,5,4,3,2,1,32,0.0
4,0.804,1,1,0,4,5,13,2,4,1,12,0.0
47,0.843,0,1,0,4,5,7,3,2,1,6,1.0
94,0.802,1,1,0,3,5,4,1,2,1,31,0.0
21,0.738,1,1,0,4,5,13,6,1,5,66,1.0
5,0.92,1,1,1,3,3,10,4,2,3,39,0.0
56,0.7759999999999999,1,1,0,3,5,16,5,2,2,103,0.0
49,0.92,0,1,0,3,5,20,8,2,1,7,0.0
64,0.624,1,1,0,3,5,15,3,2,0,80,0.0
5,0.92,1,1,2,3,5,3,8,2,2,11,0.0
64,0.624,1,1,0,3,5,2,2,2,2,89,1.0
64,0.624,1,1,0,4,5,4,4,2,1,32,1.0
48,0.91,1,1,0,3,5,5,3,2,1,19,0.0
49,0.92,1,1,0,1,0,9,1,5,2,157,0.0
5,0.92,1,1,0,3,5,4,8,2,0,110,0.0
13,0.926,1,1,0,2,0,20,6,2,5,90,0.0
77,0.7759999999999999,1,1,0,4,5,7,8,2,1,56,0.0
13,0.926,1,1,0,4,5,21,8,2,5,109,0.0
48,0.91,1,1,0,3,5,11,4,2,2,118,0.0
55,0.878,1,1,0,4,5,10,8,2,3,9,0.0
65,0.899,1,1,0,3,5,10,6,2,0,48,0.0
5,0.92,1,1,0,3,5,6,2,4,1,9,0.0
13,0.926,1,1,0,3,5,14,3,2,5,28,0.0
64,0.624,1,1,0,3,5,7,8,2,1,109,0.0
11,0.55,1,1,0,3,5,6,2,3,1,3,0.0
121,0.949,1,0,0,4,1,21,1,2,5,136,0.0
49,0.92,1,1,0,3,5,16,4,2,0,34,0.0
2,0.887,1,1,2,3,5,4,3,3,4,94,0.0
64,0.624,0,1,0,3,5,4,3,3,1,172,1.0
74,0.893,1,0,0,3,5,21,4,2,3,166,0.0
5,0.92,1,1,0,3,5,15,4,2,2,28,1.0
5,0.92,1,1,0,3,5,10,8,2,3,18,0.0
5,0.92,1,0,0,3,5,3,2,2,5,9,0.0
26,0.8270000000000001,1,0,0,3,5,2,1,2,1,62,0.0
82,0.89,1,1,0,1,0,7,2,2,2,20,0.0
4,0.804,1,1,0,3,5,15,6,2,1,51,0.0
5,0.92,0,1,0,4,5,10,3,2,1,16,0.0
114,0.925,1,1,0,3,5,21,8,2,1,108,0.0
48,0.91,1,1,0,3,5,9,2,3,1,17,0.0
122,0.915,1,1,0,3,5,9,2,2,1,20,0.0
2,0.887,1,1,0,4,5,17,3,2,5,14,0.0
5,0.92,1,1,0,4,5,4,7,2,1,127,0.0
5,0.92,1,1,0,3,5,21,8,2,5,26,0.0
5,0.92,0,1,0,3,5,16,3,2,5,27,0.0
30,0.897,0,1,0,4,5,7,6,2,1,34,0.0
