gender,enrolled_university,education_level,experience,company_size,company_type,last_new_job,city,city_development_index,relevent_experience,major_discipline,training_hours,target
1.0,0.0,3.0,5.0,4.0,2.0,0.0,64,0.624,1,5,87,1.0
2.0,0.0,3.0,19.0,8.0,1.0,4.0,5,0.92,1,5,52,1.0
1.0,0.0,3.0,15.0,5.0,2.0,5.0,3,0.5579999999999999,1,4,20,1.0
1.0,0.0,3.0,11.0,2.0,2.0,1.0,112,0.923,1,5,21,0.0
1.0,0.0,3.0,4.0,4.0,2.0,1.0,3,0.5579999999999999,0,5,92,1.0
1.0,0.0,3.0,10.0,4.0,2.0,2.0,93,0.6659999999999999,1,5,102,0.0
1.0,0.0,3.0,5.0,8.0,2.0,5.0,7,0.794,0,3,26,0.0
1.0,0.0,4.0,3.0,1.0,4.0,2.0,6,0.924,1,5,7,0.0
1.0,1.0,2.0,4.0,8.0,2.0,1.0,13,0.926,0,0,43,0.0
1.0,0.0,3.0,21.0,4.0,2.0,1.0,6,0.924,1,5,45,0.0
1.0,1.0,3.0,2.0,3.0,4.0,2.0,101,0.754,1,5,52,0.0
1.0,0.0,3.0,21.0,5.0,2.0,2.0,5,0.92,1,5,19,0.0
1.0,1.0,3.0,2.0,2.0,3.0,0.0,64,0.624,1,5,32,1.0
1.0,0.0,3.0,21.0,4.0,2.0,5.0,50,0.767,1,3,26,1.0
1.0,2.0,3.0,6.0,4.0,2.0,1.0,95,0.855,1,5,90,0.0
1.0,0.0,3.0,6.0,4.0,2.0,3.0,103,0.939,1,5,25,0.0
1.0,0.0,4.0,13.0,1.0,2.0,1.0,78,0.8270000000000001,1,5,15,0.0
1.0,0.0,4.0,21.0,4.0,2.0,5.0,2,0.887,1,3,48,0.0
1.0,1.0,2.0,3.0,3.0,2.0,1.0,11,0.55,0,0,98,0.0
1.0,0.0,3.0,10.0,3.0,2.0,2.0,118,0.865,1,5,142,1.0
2.0,0.0,4.0,4.0,8.0,2.0,4.0,95,0.855,0,3,13,0.0
1.0,0.0,3.0,15.0,3.0,2.0,5.0,48,0.91,1,5,47,0.0
0.0,0.0,4.0,14.0,5.0,1.0,1.0,48,0.91,1,3,28,0.0
1.0,0.0,3.0,2.0,4.0,2.0,0.0,116,0.698,0,0,228,1.0
1.0,0.0,3.0,21.0,4.0,2.0,4.0,93,0.6659999999999999,1,5,22,0.0
1.0,1.0,3.0,0.0,2.0,2.0,0.0,64,0.624,0,5,18,1.0
1.0,0.0,3.0,2.0,2.0,2.0,1.0,26,0.8270000000000001,1,5,29,0.0
1.0,0.0,4.0,5.0,4.0,2.0,1.0,95,0.855,1,5,46,0.0
1.0,1.0,3.0,0.0,6.0,2.0,0.0,11,0.55,0,5,12,0.0
1.0,0.0,3.0,5.0,4.0,2.0,2.0,5,0.92,1,5,17,0.0
1.0,0.0,4.0,5.0,3.0,2.0,2.0,74,0.893,1,5,65,0.0
1.0,0.0,3.0,3.0,4.0,2.0,1.0,5,0.92,0,3,35,0.0
1.0,1.0,3.0,9.0,8.0,2.0,3.0,95,0.855,0,5,14,0.0
0.0,0.0,4.0,2.0,1.0,4.0,1.0,5,0.92,1,5,4,0.0
1.0,0.0,3.0,15.0,3.0,2.0,5.0,5,0.92,1,5,12,0.0
1.0,0.0,3.0,21.0,3.0,2.0,2.0,49,0.92,1,5,108,0.0
1.0,0.0,3.0,21.0,4.0,2.0,1.0,5,0.92,0,5,136,0.0
1.0,0.0,3.0,5.0,2.0,2.0,1.0,5,0.92,1,5,27,0.0
1.0,2.0,4.0,4.0,3.0,3.0,1.0,63,0.7959999999999999,1,5,74,0.0
1.0,0.0,3.0,15.0,2.0,4.0,1.0,99,0.884,1,5,86,0.0
0.0,2.0,3.0,0.0,2.0,2.0,2.0,89,0.866,0,5,83,0.0
1.0,1.0,2.0,4.0,4.0,2.0,3.0,5,0.92,0,0,75,0.0
1.0,1.0,4.0,11.0,4.0,1.0,2.0,43,0.698,0,5,42,0.0
0.0,0.0,3.0,6.0,4.0,2.0,1.0,5,0.92,1,5,332,0.0
1.0,1.0,3.0,4.0,6.0,2.0,1.0,91,0.913,0,5,140,0.0
1.0,0.0,2.0,3.0,5.0,3.0,0.0,48,0.91,0,0,182,0.0
0.0,0.0,3.0,3.0,4.0,2.0,1.0,5,0.92,0,3,13,1.0
1.0,0.0,3.0,5.0,2.0,2.0,2.0,61,0.682,1,5,172,1.0
1.0,0.0,3.0,10.0,4.0,5.0,1.0,5,0.92,1,5,48,0.0
1.0,1.0,3.0,9.0,3.0,2.0,1.0,94,0.802,1,5,33,0.0
1.0,1.0,2.0,2.0,4.0,2.0,1.0,49,0.92,0,0,142,0.0
1.0,1.0,3.0,2.0,4.0,2.0,1.0,102,0.579,0,5,34,0.0
1.0,0.0,3.0,6.0,3.0,2.0,2.0,94,0.802,1,5,14,1.0
1.0,0.0,3.0,6.0,2.0,2.0,2.0,11,0.55,1,5,27,1.0
1.0,0.0,3.0,8.0,4.0,2.0,1.0,11,0.55,1,5,24,1.0
1.0,0.0,4.0,21.0,4.0,2.0,1.0,55,0.878,0,5,150,0.0
0.0,0.0,3.0,11.0,5.0,5.0,5.0,5,0.92,1,5,20,0.0
1.0,0.0,3.0,5.0,5.0,2.0,1.0,5,0.92,1,5,140,0.0
1.0,0.0,3.0,12.0,7.0,2.0,1.0,48,0.91,1,5,52,0.0
1.0,0.0,3.0,21.0,3.0,2.0,2.0,103,0.939,1,5,160,0.0
1.0,0.0,4.0,9.0,7.0,2.0,2.0,30,0.897,1,5,3,0.0
1.0,0.0,3.0,2.0,1.0,2.0,2.0,64,0.624,1,5,2,1.0
1.0,0.0,3.0,21.0,6.0,2.0,5.0,48,0.91,1,5,28,0.0
1.0,0.0,3.0,21.0,6.0,2.0,4.0,101,0.754,1,6,46,0.0
1.0,0.0,3.0,8.0,3.0,2.0,1.0,95,0.855,1,5,210,0.0
1.0,0.0,3.0,10.0,1.0,2.0,1.0,13,0.926,1,5,36,0.0
1.0,1.0,3.0,4.0,5.0,3.0,1.0,121,0.949,0,5,160,1.0
1.0,1.0,3.0,2.0,2.0,5.0,2.0,64,0.624,1,5,101,0.0
1.0,0.0,4.0,6.0,3.0,2.0,1.0,13,0.926,1,5,46,0.0
1.0,0.0,3.0,21.0,6.0,2.0,5.0,120,0.925,1,5,19,0.0
1.0,0.0,3.0,3.0,4.0,2.0,2.0,64,0.624,1,5,26,1.0
1.0,1.0,3.0,7.0,1.0,5.0,1.0,116,0.698,1,5,90,0.0
1.0,0.0,3.0,9.0,1.0,2.0,4.0,85,0.8959999999999999,1,5,59,0.0
1.0,2.0,3.0,10.0,3.0,3.0,1.0,49,0.92,1,2,260,0.0
0.0,0.0,3.0,11.0,3.0,2.0,5.0,64,0.624,1,5,74,0.0
1.0,0.0,5.0,21.0,4.0,2.0,2.0,48,0.91,1,5,20,1.0
1.0,0.0,3.0,12.0,4.0,2.0,2.0,55,0.878,1,5,8,0.0
1.0,0.0,3.0,6.0,4.0,2.0,1.0,5,0.92,1,5,131,0.0
1.0,1.0,4.0,7.0,6.0,2.0,1.0,31,0.836,1,5,45,0.0
1.0,1.0,3.0,11.0,2.0,2.0,2.0,111,0.693,1,5,109,0.0
1.0,0.0,3.0,3.0,4.0,2.0,1.0,95,0.855,1,3,70,0.0
0.0,0.0,3.0,21.0,4.0,5.0,5.0,5,0.92,1,5,17,0.0
0.0,0.0,4.0,15.0,3.0,2.0,1.0,5,0.92,0,5,51,0.0
0.0,0.0,3.0,6.0,3.0,2.0,3.0,5,0.92,1,5,60,1.0
1.0,0.0,5.0,21.0,6.0,1.0,5.0,74,0.893,0,5,4,0.0
1.0,0.0,3.0,12.0,4.0,2.0,5.0,13,0.926,0,5,7,0.0
1.0,0.0,4.0,21.0,4.0,2.0,3.0,4,0.804,1,5,164,0.0
1.0,0.0,3.0,20.0,6.0,3.0,4.0,93,0.6659999999999999,1,5,290,0.0
1.0,0.0,2.0,2.0,1.0,5.0,0.0,4,0.804,0,0,145,0.0
1.0,0.0,5.0,12.0,4.0,2.0,2.0,5,0.92,0,5,70,0.0
1.0,0.0,3.0,3.0,3.0,4.0,1.0,64,0.624,0,0,24,0.0
1.0,0.0,4.0,3.0,8.0,2.0,1.0,5,0.92,0,3,133,1.0
1.0,1.0,3.0,2.0,4.0,2.0,1.0,11,0.55,0,5,20,0.0
1.0,0.0,3.0,10.0,1.0,3.0,1.0,5,0.92,1,5,76,0.0
0.0,1.0,4.0,5.0,3.0,3.0,4.0,116,0.698,0,5,21,1.0
0.0,0.0,3.0,8.0,7.0,2.0,2.0,64,0.624,1,6,34,0.0
1.0,0.0,3.0,9.0,1.0,2.0,2.0,49,0.92,0,5,15,0.0
1.0,0.0,3.0,21.0,3.0,3.0,5.0,89,0.866,0,5,156,0.0
1.0,0.0,3.0,21.0,7.0,2.0,5.0,5,0.92,1,5,15,0.0
1.0,0.0,4.0,21.0,2.0,2.0,0.0,13,0.926,1,5,120,0.0
1.0,0.0,3.0,14.0,8.0,3.0,5.0,45,0.769,1,4,47,0.0
1.0,0.0,3.0,12.0,2.0,3.0,2.0,101,0.754,1,5,100,1.0
1.0,2.0,3.0,6.0,5.0,2.0,0.0,95,0.855,1,5,102,0.0
1.0,0.0,2.0,4.0,7.0,2.0,0.0,5,0.92,0,0,52,0.0
1.0,0.0,2.0,9.0,2.0,3.0,4.0,13,0.926,1,0,39,0.0
1.0,1.0,2.0,4.0,4.0,2.0,1.0,5,0.92,1,0,112,1.0
1.0,0.0,5.0,21.0,3.0,2.0,5.0,5,0.92,0,5,14,0.0
1.0,0.0,3.0,11.0,4.0,3.0,1.0,48,0.91,1,0,4,0.0
1.0,0.0,4.0,21.0,6.0,5.0,5.0,48,0.91,1,1,55,0.0
1.0,0.0,3.0,6.0,8.0,2.0,4.0,64,0.624,1,5,49,1.0
1.0,0.0,3.0,15.0,7.0,2.0,5.0,48,0.91,1,5,72,0.0
1.0,1.0,3.0,14.0,7.0,2.0,3.0,114,0.925,1,5,141,1.0
1.0,0.0,2.0,6.0,3.0,2.0,0.0,13,0.926,0,0,28,0.0
1.0,0.0,3.0,13.0,8.0,2.0,1.0,5,0.92,1,5,6,0.0
1.0,0.0,3.0,17.0,7.0,2.0,1.0,5,0.92,1,4,125,0.0
1.0,0.0,3.0,21.0,6.0,2.0,0.0,103,0.939,1,5,326,0.0
1.0,0.0,3.0,21.0,4.0,2.0,2.0,5,0.92,1,6,33,0.0
1.0,0.0,4.0,6.0,8.0,2.0,5.0,4,0.804,0,5,40,0.0
1.0,0.0,3.0,18.0,4.0,2.0,1.0,49,0.92,1,5,198,1.0
0.0,0.0,4.0,15.0,8.0,2.0,5.0,5,0.92,1,5,55,0.0
1.0,0.0,3.0,21.0,5.0,2.0,5.0,42,0.698,0,5,32,0.0
1.0,0.0,3.0,21.0,4.0,2.0,5.0,5,0.92,1,1,11,0.0
1.0,0.0,3.0,21.0,1.0,2.0,1.0,101,0.754,1,5,41,0.0
1.0,0.0,4.0,21.0,8.0,1.0,5.0,5,0.92,1,5,87,1.0
1.0,0.0,4.0,10.0,4.0,2.0,4.0,95,0.855,1,5,114,0.0
1.0,0.0,4.0,21.0,4.0,2.0,5.0,98,0.698,1,0,33,0.0
1.0,2.0,4.0,5.0,1.0,4.0,1.0,116,0.698,1,5,15,0.0
1.0,1.0,2.0,3.0,5.0,2.0,1.0,48,0.91,0,0,8,0.0
0.0,2.0,2.0,2.0,4.0,5.0,1.0,55,0.878,1,0,22,0.0
1.0,0.0,4.0,21.0,7.0,2.0,4.0,5,0.92,1,5,13,0.0
1.0,0.0,3.0,21.0,1.0,1.0,1.0,121,0.949,1,5,246,0.0
1.0,0.0,4.0,9.0,2.0,2.0,1.0,5,0.92,1,5,22,0.0
1.0,0.0,4.0,21.0,1.0,3.0,1.0,5,0.92,1,5,81,0.0
0.0,1.0,3.0,4.0,2.0,3.0,1.0,56,0.7759999999999999,1,5,11,0.0
1.0,1.0,3.0,5.0,7.0,2.0,2.0,119,0.698,0,5,24,1.0
1.0,0.0,3.0,21.0,4.0,3.0,1.0,5,0.92,1,5,50,0.0
1.0,1.0,2.0,6.0,3.0,2.0,0.0,6,0.924,0,0,15,0.0
1.0,0.0,4.0,21.0,2.0,2.0,5.0,70,0.939,1,5,31,0.0
1.0,0.0,4.0,21.0,3.0,2.0,0.0,13,0.926,1,5,84,0.0
1.0,2.0,3.0,4.0,8.0,2.0,1.0,30,0.897,1,5,42,0.0
0.0,0.0,3.0,10.0,2.0,2.0,5.0,64,0.624,1,5,105,1.0
0.0,0.0,3.0,21.0,3.0,2.0,5.0,5,0.92,1,5,72,0.0
1.0,0.0,3.0,14.0,2.0,2.0,5.0,14,0.789,1,5,42,1.0
1.0,0.0,3.0,15.0,3.0,4.0,1.0,119,0.698,1,5,152,0.0
1.0,0.0,3.0,12.0,8.0,2.0,1.0,5,0.92,1,5,60,0.0
1.0,1.0,4.0,2.0,3.0,2.0,0.0,64,0.624,0,5,8,0.0
1.0,1.0,4.0,13.0,6.0,2.0,3.0,48,0.91,0,5,17,1.0
1.0,0.0,2.0,1.0,4.0,2.0,1.0,112,0.923,0,0,33,0.0
1.0,0.0,4.0,4.0,4.0,3.0,0.0,48,0.91,1,5,38,0.0
1.0,0.0,3.0,14.0,1.0,4.0,2.0,5,0.92,1,3,178,0.0
1.0,0.0,3.0,15.0,3.0,2.0,1.0,49,0.92,1,5,11,0.0
1.0,0.0,2.0,21.0,5.0,3.0,0.0,74,0.893,1,0,87,0.0
1.0,0.0,3.0,13.0,3.0,2.0,0.0,94,0.802,1,5,84,0.0
1.0,0.0,3.0,21.0,4.0,4.0,2.0,99,0.884,1,5,32,0.0
1.0,0.0,4.0,9.0,4.0,2.0,1.0,2,0.887,1,5,31,1.0
1.0,0.0,3.0,2.0,5.0,1.0,1.0,64,0.624,0,5,39,0.0
1.0,0.0,3.0,7.0,2.0,2.0,1.0,90,0.775,1,5,12,0.0
1.0,1.0,3.0,5.0,8.0,2.0,1.0,64,0.624,1,5,50,0.0
1.0,0.0,3.0,3.0,4.0,2.0,1.0,51,0.903,1,5,55,1.0
1.0,0.0,3.0,5.0,3.0,2.0,1.0,11,0.55,1,5,7,1.0
1.0,0.0,4.0,2.0,3.0,4.0,1.0,5,0.92,1,3,104,0.0
1.0,1.0,3.0,21.0,6.0,2.0,5.0,49,0.92,1,2,90,1.0
1.0,0.0,4.0,21.0,4.0,2.0,5.0,5,0.92,1,6,8,0.0
1.0,1.0,3.0,2.0,6.0,2.0,0.0,64,0.624,0,5,102,0.0
1.0,0.0,4.0,0.0,2.0,2.0,1.0,64,0.624,1,5,202,1.0
1.0,0.0,3.0,4.0,4.0,2.0,1.0,39,0.555,1,5,22,0.0
1.0,1.0,3.0,3.0,4.0,2.0,0.0,64,0.624,0,5,42,0.0
1.0,0.0,1.0,4.0,4.0,2.0,0.0,49,0.92,0,0,50,0.0
1.0,0.0,4.0,3.0,3.0,3.0,1.0,64,0.624,1,5,88,0.0
1.0,0.0,3.0,5.0,6.0,2.0,4.0,101,0.754,1,5,81,0.0
1.0,0.0,4.0,21.0,8.0,2.0,1.0,5,0.92,1,5,7,0.0
1.0,0.0,4.0,3.0,5.0,2.0,0.0,64,0.624,0,0,218,0.0
1.0,0.0,3.0,21.0,8.0,2.0,5.0,48,0.91,1,5,62,0.0
1.0,0.0,3.0,6.0,3.0,2.0,1.0,5,0.92,1,5,83,0.0
1.0,0.0,3.0,9.0,6.0,2.0,5.0,70,0.939,1,5,11,0.0
1.0,2.0,5.0,21.0,3.0,2.0,5.0,13,0.926,0,5,10,0.0
1.0,0.0,4.0,10.0,6.0,2.0,1.0,70,0.939,1,5,114,0.0
1.0,0.0,4.0,3.0,3.0,2.0,1.0,64,0.624,1,5,36,0.0
1.0,0.0,4.0,6.0,2.0,2.0,1.0,4,0.804,0,5,17,0.0
1.0,1.0,3.0,2.0,6.0,2.0,0.0,48,0.91,0,5,80,1.0
1.0,2.0,3.0,21.0,3.0,1.0,5.0,49,0.92,1,5,108,0.0
1.0,0.0,3.0,2.0,4.0,2.0,2.0,5,0.92,1,5,45,0.0
1.0,1.0,3.0,5.0,4.0,2.0,0.0,5,0.92,0,5,77,0.0
1.0,0.0,4.0,15.0,4.0,2.0,2.0,13,0.926,1,5,8,0.0
1.0,0.0,3.0,5.0,4.0,2.0,1.0,55,0.878,0,5,28,0.0
0.0,0.0,3.0,9.0,4.0,3.0,5.0,36,0.727,1,5,37,0.0
1.0,1.0,3.0,2.0,5.0,2.0,2.0,48,0.91,0,5,108,1.0
1.0,0.0,3.0,13.0,5.0,2.0,2.0,5,0.92,1,5,162,0.0
1.0,1.0,2.0,9.0,5.0,2.0,5.0,101,0.754,1,0,41,0.0
1.0,0.0,4.0,19.0,4.0,2.0,4.0,51,0.903,1,5,4,0.0
0.0,0.0,5.0,3.0,6.0,1.0,1.0,99,0.884,0,5,41,0.0
1.0,0.0,3.0,17.0,8.0,2.0,2.0,51,0.903,1,5,12,0.0
1.0,0.0,3.0,21.0,3.0,2.0,1.0,5,0.92,1,5,190,0.0
1.0,0.0,3.0,7.0,3.0,2.0,5.0,64,0.624,1,5,29,1.0
1.0,0.0,3.0,6.0,4.0,1.0,1.0,5,0.92,1,5,11,0.0
1.0,1.0,2.0,3.0,8.0,2.0,1.0,5,0.92,0,0,30,0.0
1.0,0.0,4.0,13.0,4.0,2.0,5.0,5,0.92,1,5,39,0.0
1.0,1.0,2.0,9.0,3.0,3.0,1.0,4,0.804,1,0,16,0.0
1.0,0.0,3.0,21.0,3.0,2.0,5.0,13,0.926,0,5,5,0.0
1.0,1.0,2.0,8.0,4.0,2.0,0.0,68,0.698,0,0,39,0.0
1.0,0.0,4.0,10.0,3.0,2.0,5.0,13,0.926,1,5,29,0.0
1.0,1.0,4.0,4.0,3.0,5.0,2.0,64,0.624,1,5,210,0.0
2.0,2.0,2.0,6.0,3.0,3.0,1.0,5,0.92,0,0,54,0.0
1.0,0.0,3.0,9.0,3.0,2.0,3.0,49,0.92,1,5,44,0.0
1.0,0.0,3.0,15.0,4.0,2.0,5.0,48,0.91,1,5,47,0.0
1.0,0.0,3.0,21.0,6.0,5.0,5.0,5,0.92,1,5,74,0.0
1.0,0.0,4.0,6.0,2.0,2.0,1.0,64,0.624,1,5,8,1.0
1.0,1.0,3.0,7.0,6.0,2.0,0.0,64,0.624,0,5,20,1.0
1.0,0.0,3.0,3.0,5.0,2.0,1.0,5,0.92,1,5,162,0.0
1.0,0.0,3.0,2.0,3.0,2.0,1.0,74,0.893,0,2,110,0.0
2.0,2.0,2.0,3.0,2.0,2.0,1.0,83,0.762,1,0,262,0.0
1.0,0.0,4.0,14.0,7.0,2.0,1.0,31,0.836,1,5,6,0.0
1.0,2.0,3.0,9.0,2.0,2.0,1.0,93,0.6659999999999999,1,5,19,1.0
2.0,0.0,3.0,21.0,3.0,2.0,5.0,93,0.6659999999999999,0,5,23,1.0
1.0,0.0,3.0,0.0,4.0,3.0,1.0,64,0.624,0,5,107,1.0
1.0,0.0,4.0,15.0,8.0,2.0,5.0,30,0.897,1,5,134,0.0
1.0,0.0,4.0,11.0,2.0,4.0,1.0,13,0.926,1,5,40,0.0
1.0,0.0,3.0,12.0,3.0,2.0,1.0,99,0.884,1,5,11,0.0
1.0,0.0,3.0,11.0,5.0,3.0,3.0,49,0.92,1,5,102,0.0
1.0,1.0,3.0,2.0,3.0,2.0,0.0,64,0.624,0,5,100,0.0
1.0,0.0,4.0,3.0,8.0,2.0,0.0,112,0.923,0,5,30,0.0
1.0,0.0,2.0,5.0,5.0,3.0,1.0,5,0.92,0,0,20,1.0
1.0,0.0,3.0,14.0,6.0,2.0,3.0,5,0.92,1,5,4,0.0
1.0,0.0,1.0,5.0,6.0,2.0,0.0,48,0.91,0,0,15,0.0
1.0,0.0,3.0,0.0,4.0,2.0,1.0,64,0.624,0,5,14,1.0
1.0,0.0,1.0,1.0,4.0,2.0,0.0,112,0.923,0,0,103,0.0
1.0,2.0,3.0,5.0,6.0,1.0,2.0,49,0.92,1,5,40,0.0
1.0,0.0,5.0,21.0,4.0,2.0,2.0,48,0.91,1,5,27,0.0
1.0,0.0,2.0,10.0,4.0,2.0,5.0,13,0.926,0,0,46,0.0
1.0,0.0,2.0,7.0,3.0,2.0,5.0,13,0.926,1,0,110,0.0
1.0,0.0,3.0,13.0,3.0,3.0,1.0,5,0.92,1,5,96,0.0
1.0,0.0,3.0,5.0,8.0,2.0,2.0,5,0.92,1,5,57,0.0
1.0,1.0,3.0,6.0,4.0,2.0,1.0,49,0.92,1,5,240,0.0
1.0,0.0,3.0,4.0,3.0,3.0,4.0,121,0.949,1,5,42,0.0
1.0,0.0,4.0,7.0,6.0,2.0,1.0,103,0.939,1,5,16,1.0
1.0,0.0,3.0,21.0,3.0,2.0,0.0,18,0.64,1,5,40,1.0
1.0,0.0,3.0,5.0,4.0,3.0,2.0,5,0.92,1,5,94,0.0
1.0,0.0,3.0,9.0,7.0,2.0,1.0,75,0.794,0,5,160,0.0
1.0,2.0,3.0,10.0,2.0,4.0,1.0,55,0.878,0,5,25,0.0
1.0,0.0,3.0,9.0,1.0,4.0,1.0,80,0.516,1,5,11,0.0
1.0,0.0,2.0,0.0,4.0,2.0,1.0,55,0.878,1,0,29,0.0
1.0,0.0,3.0,8.0,4.0,2.0,1.0,116,0.698,1,5,23,0.0
1.0,0.0,3.0,10.0,2.0,2.0,2.0,36,0.727,1,5,113,0.0
1.0,0.0,3.0,15.0,5.0,2.0,2.0,101,0.754,1,5,56,0.0
1.0,1.0,3.0,2.0,4.0,3.0,1.0,6,0.924,0,5,39,1.0
1.0,0.0,3.0,2.0,6.0,2.0,1.0,5,0.92,0,5,20,0.0
1.0,1.0,3.0,21.0,8.0,2.0,1.0,49,0.92,1,5,40,0.0
1.0,0.0,4.0,21.0,1.0,2.0,5.0,5,0.92,1,5,56,0.0
1.0,1.0,3.0,4.0,5.0,2.0,1.0,39,0.555,0,5,106,0.0
1.0,2.0,3.0,19.0,5.0,2.0,2.0,13,0.926,1,5,64,0.0
1.0,0.0,3.0,5.0,8.0,2.0,1.0,101,0.754,1,5,51,0.0
0.0,1.0,3.0,6.0,6.0,2.0,2.0,95,0.855,1,5,41,0.0
1.0,0.0,3.0,20.0,4.0,2.0,5.0,5,0.92,1,5,150,0.0
1.0,0.0,3.0,4.0,2.0,2.0,1.0,102,0.579,1,5,320,0.0
1.0,0.0,4.0,7.0,4.0,2.0,0.0,30,0.897,1,5,20,0.0
1.0,1.0,3.0,4.0,6.0,2.0,1.0,64,0.624,0,0,9,1.0
1.0,1.0,3.0,9.0,7.0,2.0,1.0,4,0.804,1,5,74,0.0
1.0,0.0,4.0,3.0,5.0,1.0,1.0,64,0.624,1,5,129,1.0
0.0,0.0,4.0,10.0,6.0,2.0,1.0,95,0.855,1,5,42,0.0
2.0,0.0,2.0,2.0,4.0,2.0,0.0,91,0.913,0,0,58,0.0
1.0,1.0,2.0,3.0,5.0,2.0,1.0,5,0.92,0,0,126,1.0
1.0,0.0,2.0,4.0,6.0,2.0,1.0,5,0.92,0,0,45,1.0
1.0,0.0,3.0,21.0,2.0,2.0,5.0,112,0.923,1,5,166,0.0
1.0,0.0,3.0,2.0,3.0,2.0,1.0,91,0.913,1,5,110,0.0
1.0,1.0,3.0,21.0,6.0,2.0,1.0,5,0.92,1,5,37,0.0
0.0,2.0,3.0,2.0,4.0,2.0,1.0,4,0.804,1,5,95,1.0
1.0,0.0,3.0,21.0,7.0,2.0,5.0,5,0.92,1,5,29,1.0
